titulo,autor,precio_mxn
LEGISLACION DE AMPARO 2026 (ESENCIAL),Sin autor,240.0
LEGISLACION FEDERAL LABORAL 2026 (ESENCIAL),Sin autor,280.0
MISAL PARA NIÑOS 2026,Sin autor,115.0
"NORMAS DE AUDITORIA 2026 (PROFESIONAL) PARA ATESTIGUAR, REVISION Y OTROS SERVICIOS RELACIONADOS",Sin autor,1500.0
ENGLISH 3 (NEM),Sin autor,270.0
ESPACIO GEOGRAFICO: DINAMICAS SOCIALES Y NATURALES (NEM),Sin autor,270.0
LEGISLACION CIVIL Y FAMILIAR DE LA CIUDAD DE MEXICO 2026 (ESPECIALIZADA),Sin autor,480.0
CONTABILIDAD DE COSTOS,Sin autor,399.0
LA DIVINA COMEDIA - LA VIDA NUEVA,Sin autor,265.0
LEGISLACION CIVIL Y FAMILIAR DEL ESTADO DE MEXICO 2026 (ESPECIALIZADA) (INCLUYE LEY DEL NOTARIADO DEL ESTADO DE MEXICO),Sin autor,480.0
DESARROLLO HUMANO,Sin autor,851.0
LEY FEDERAL DEL TRABAJO 2026: TITULADA Y CORRELACIONADA (PROFESIONAL),Sin autor,345.0
CONSTITUCION POLITICA DE LOS ESTADOS UNIDOS MEXICANOS 2026,Sin autor,99.0
AGENDA DE LA ADMINISTRACION PUBLICA DEL ESTADO DE MEXICO 2026,Sin autor,645.0
ESTADOS FINANCIEROS BASICOS: PROCESO DE ELABORACION Y REEXPRESION 2026,Sin autor,580.0
NORMAS DE INFORMACION FINANCIERA (NIF) ESTUDIANTIL 2026,Sin autor,810.0
NORMAS DE INFORMACION FINANCIERA (NIF) PROFESIONAL 2026,Sin autor,1670.0
EL METODO AGILE: LO QUE NECESITA SABER SOBRE GESTION DE PROYECTOS,Sin autor,659.0
LIGIE 2026: LEY DE LOS IMPUESTOS GENERALES DE IMPORTACION Y EXPORTACION,Sin autor,995.0
SHINING LIGHTS 4 B2 STUDENTS BOOK WITH INTERACTIVE EBOOK,Sin autor,1199.0
MATLAB FOR BEGINNERS: A GENTLE APPROACH (REVISED EDITION),Sin autor,768.0
REGIMEN LEGAL Y FISCAL DEL FIDEICOMISO 2026,Sin autor,690.0
LA SOLUCION ESTA EN LA SAL,Sin autor,298.0
ALGUIEN EN QUIEN ANIDAR,Sin autor,879.0
LEGISLACION PENAL DEL ESTADO DE MEXICO 2026 (ESENCIAL),Sin autor,340.0
LA FUERZA VITAL DEL CIELO ANTERIOR,Sin autor,149.0
CODIGO DE COMERCIO 2026 - LEY GENERAL DE SOCIEDADES MERCANTILES (INCLUYE EBOOK),Sin autor,180.0
LIBRO CON 180 EJERCICIOS MENTALES COGNITIVOS PARA PERSONAS MAYORES,Sin autor,610.0
TEMAS SELECTOS DE IGUALDAD Y DERECHOS HUMANOS 3,Sin autor,270.0
CODIGO FISCAL DE LA FEDERACION 2026 (BOLSILLO),Sin autor,180.0
INTELIGENCIA NATURAL,Sin autor,400.0
LEGISLACION FEDERAL LABORAL 2026 (ESPECIALIZADA),Sin autor,480.0
CODIGO PENAL DEL ESTADO DE MEXICO 2026 (BOLSILLO),Sin autor,140.0
ESTADISTICA BASICA APLICADA,Sin autor,679.0
PENSAMIENTO FILOSOFICO Y HUMANIDADES 2: LAS REFLEXIONES FILOSOFICAS SOBRE EL CONOCER,Sin autor,285.0
BIENES Y DERECHOS REALES,Sin autor,580.0
LEY GENERAL DE SOCIEDADES MERCANTILES 2026 (COMENTADA Y CORRELACIAONADA),Sin autor,450.0
"LEY GENERAL DE LOS DERECHOS DE NIÑAS, NIÑOS Y ADOLESCENTES 2026 (COMENTADA)",Sin autor,400.0
SAGA LOS BRIDGERTON - PAQUETE BOX SET (9 TOMOS),Sin autor,3125.0
SHINING LIGHTS 6 STUDENTS BOOK WITH INTERACTIVE EBOOK,Sin autor,1199.0
LEGISLACION ADMINISTRATIVA DE LA CIUDAD DE MEXICO 2026 (ESPECIALIZADA),Sin autor,320.0
CODIGO DE COMERCIO 2026 (COMENTADO Y CORRELACIONADO),Sin autor,1000.0
PENSAMIENTO MATEMATICO 3 (NEM),Sin autor,259.0
LEGISLACION FISCAL 2026 (ESPECIALIZADA),Sin autor,450.0
LEGISLACION PENAL DE LA CIUDAD DE MEXICO 2026 (ESPECIALIZADA),Sin autor,480.0
LEY GENERAL DE MECANISMOS ALTERNATIVOS DE SOLUCION DE CONTROVERSIAS 2026: MATERIA CIVIL (COMENTADA Y CORRELACIONADA),Sin autor,350.0
COMO CALCULAR LAS PENSIONES QUE OTORGA EL IMSS 2026,Sin autor,999.0
JUICIO SUCESORIO INTESTAMENTARIO,Sin autor,340.0
LEY DEL SEGURO SOCIAL 2026 (BOLSILLO),Sin autor,150.0
MANUAL BASICO DE CONTABILIDAD: EL ARTE DE LA LOGICA CONTABLE,Sin autor,515.0
AGENDA 2026 (VARIOS MODELOS),Sin autor,72.0
EL MUNDO ILUMINADO,Sin autor,248.0
GUIA PRACTICA PARA INGRESO A BACHILLERATO 2026 (INCLUYE CUADERNO DE EJERCICIOS),Sin autor,520.0
PROGRAMACION Y USO DE LIBRERIAS EN R: HERRAMIENTAS DE ANALISIS Y VISUALIZACION DE DATOS,Sin autor,1790.0
ETICA NICOMAQUEA - POLITICA,Sin autor,235.0
PRONTUARIO TRIBUTARIO 2026 (PROFESIONAL),Sin autor,1199.0
DIRECTIONS B2 STUDENTS BOOK (INCLUDE RICHMOND LEARNING PLATFORM),Sin autor,825.0
LEGISLACION DE MOVILIDAD FEDERAL 2026 (REGLAMENTO DE TRANSITO EN CARRETERAS Y PUENTES FEDERALES),Sin autor,150.0
